Category (S),Title (S),ShortTitle (S),ProductID (S),Weight (N),Price (N),Discounted Price (N),Image (S),Description (S),Catalog Weight (S)
Category 6,Pureactive 3In1 Face Wash|Scrub|Mask 50 ml,Pureactive 3In1 Face Wash|Scrub|Mask 50 ml,3.61034E+12,76,0,,,,
Category 6,Pureactive 3In1 Face Wash|Scrub|Mask 100 ml,Pureactive 3In1 Face Wash|Scrub|Mask 100 ml,3.61034E+12,123,0,,,,
Category 6,GARNIER 3IN1 FW C.COAL 50ML,GARNIER 3IN1 FW C.COAL 50ML,3.61034E+12,157,278.62,,,,
Category 6,GARNIER 3IN1 FW C.COAL 50ML,GARNIER 3IN1 FW C.COAL 50ML,3.61034E+12,74,168.53,,,,
Category 6,Olay Essentials Gel 150 ml,Olay Essentials Gel 150 ml,5.01132E+12,172,0,,,,
Category 6,RIVAJ F.W MEN CHARCOAL 150ML,RIVAJ F.W MEN CHARCOAL 150ML,5.06045E+12,174,219,,,,
Category 6,RIVAJ F.W MEN EXPERT 150ML,RIVAJ F.W MEN EXPERT 150ML,5.06045E+12,170,310,,,,
Category 6,RIVAJ F.W MEN ACNOFIGHT 150ML,RIVAJ F.W MEN ACNOFIGHT 150ML,5.06045E+12,172,310,,,,
Category 6,HEMANI F.W ALO V 100ML,HEMANI F.W ALO V 100ML,5.90775E+12,108,95,,,,
Category 6,HEMANI F.W CUCUMBER 100ML,HEMANI F.W CUCUMBER 100ML,5.90775E+12,108,95,,,,
Category 6,HEMANI F.W MILK 100ML,HEMANI F.W MILK 100ML,5.90775E+12,110,95,,,,
Category 6,HEMANI F.W ACNE 100ML,HEMANI F.W ACNE 100ML,5.90775E+12,109,95,,,,
Category 6,Vaseline Blueseal Petroleum Jelly Sa Cocoa Butter 250 ml,Vaseline Blueseal Petroleum Jelly Sa Cocoa Butter 250 ml,6.00109E+12,251,0,,,,
Category 6,Vaseline Skin Care Blueseal For Men Petroleum Jelly Fresh,Vaseline Skin Care Blueseal For Men Petroleum Jelly Fresh,6.00109E+12,259,0,,,,
Category 6,VASELINE MEN E.S 400ML,VASELINE MEN E.S 400ML,6.00109E+12,481,219,,,,
Category 6,VASELINE JELLY ORG 50ML,VASELINE JELLY ORG 50ML,60014399,54,95,,,,
Category 6,VASELINE VIT E 50ML,VASELINE VIT E 50ML,60014429,51,95,,,,
