Category (S),Title (S),ShortTitle (S),ProductID (S),Weight (N),Price (N),Discounted Price (N),Image (S),Description (S),Catalog Weight (S)
Category 3,Nestle coco krunch 330g,Nestle coco krunch 330g,4.80036E+12,480,405.98,,,,
Category 3,Nestle Corn flakes 150g,Nestle Corn flakes 150g,4.80036E+12,221,192.31,,,,
Category 3,Nestle coco krunch 170g,Nestle coco krunch 170g,4.80036E+12,236,277.78,,,,
Category 3,Nestle Milo Cereal 170g,Nestle Milo Cereal 170g,4.80036E+12,221,277.78,,,,
Category 3,milo pouch 300g,milo pouch 300g,4.80036E+12,373,332.48,,,,
Category 3,Cerelac Chaunsa 175g,Cerelac Chaunsa 175g,5.05383E+12,948,709.4,,,,
Category 3,tapal green teabag jasm 30p,tapal green teabag jasm 30p,8.15096E+11,100,89.02,,,,
Category 3,danedar black tea leaf 95g,danedar black tea leaf 95g,8.15096E+11,100,84.47,,,,
Category 3,Tapal Danedar Black Tea 95 gm,Tapal Danedar Black Tea 95 gm,8.15096E+11,113,,,,,
Category 3,tapal green teabag strby 45g,tapal green teabag strby 45g,8.15096E+11,94,89.02,,,,
Category 3,horlicks choc bottle 200g,horlicks choc bottle 200g,8.90157E+12,234,187.18,,,,
Category 3,Cerelac Chaunsa 175g,Cerelac Chaunsa 175g,8.96101E+12,159,195,,,,
Category 3,supreme black tea 95g,supreme black tea 95g,8.96101E+12,105,84.47,,,,
Category 3,supreme nat nare 95g,supreme nat nare 95g,8.96101E+12,108,102.56,,,,
Category 3,lipton black tea leaf 95g,lipton black tea leaf 95g,8.96101E+12,111,93.02,,,,
Category 3,lipton black teabag 50g,lipton black teabag 50g,8.96101E+12,147,168.94,,,,
Category 3,vital tea leaves 385g,vital tea leaves 385g,8.964E+12,402,313.79,,,,
Category 3,vital green tea bag pln 30p,vital green tea bag pln 30p,8.964E+12,109,85.47,,,,
Category 3,vital green tea bag jasm 30p,vital green tea bag jasm 30p,8.964E+12,90,85.47,,,,
Category 3,Fauji barley porridge 100g,Fauji barley porridge 100g,8.964E+12,129,90.43,,,,
Category 3,Fauji Corn flakes 150g,Fauji Corn flakes 150g,8.964E+12,154,93.16,,,,
Category 3,Fauji Rice Flakes,Fauji Rice Flakes,8.964E+12,340,192.31,,,,
Category 3,Fauji Honey Corn Flakes 250g,Fauji Honey Corn Flakes 250g,8.964E+12,310,217.95,,,,
Category 3,Fauji Choc Star 250g,Fauji Choc Star 250g,8.964E+12,297,247.01,,,,
Category 3,Fauji corn flakes mango 250g,Fauji corn flakes mango 250g,8.964E+12,299,187.18,,,,
Category 3,Faugi Choc corn pops 250g,Faugi Choc corn pops 250g,8.964E+12,318,229.95,,,,
Category 3,Fauji choc rings 250g,Fauji choc rings 250g,8.964E+12,324,239.46,,,,
Category 3,nescafe instant coffee 50g,nescafe instant coffee 50g,9.556E+12,33,170.09,,,,
