Category (S),Title (S),ShortTitle (S),ProductID (S),Weight (N),Price (N),Discounted Price (N),Image (S),Description (S),Catalog Weight (S)
Category 2,Inovative Digestive H/Rol x6,Inovative Digestive H/Rol x6,5786110512156,409,81,,,,
Category 2,Jam Heart Van Half Roll Box,Jam Heart Van Half Roll Box,671866129800,414,88,,,,
Category 2,Jam Heart Choc Half Roll Box,Jam Heart Choc Half Roll Box,671866129824,556,88,,,,
Category 2,Jam Heart S&V Ticky Pack Box,Jam Heart S&V Ticky Pack Box,671866129831,858,118,,,,
Category 2,Bravo Mini Snack Box,Bravo Mini Snack Box,671866129923,306,59,,,,
Category 2,Choclatto Half Roll Box,Choclatto Half Roll Box,870572001725,377,109,,,,
Category 2,Rite Biscuit Half Roll x6,Rite Biscuit Half Roll x6,870572005884,395,89,,,,
Category 2,Choco Chip Half Roll Box,Choco Chip Half Roll Box,870572009516,324,89,,,,
Category 2,Zeera Plus Family Pack,Zeera Plus Family Pack,8961003011016,142,39,,,,
Category 2,Lu Tuc Half Roll Box,Lu Tuc Half Roll Box,8961003030215,112,99,,,,
Category 2,Gala Egg Half Roll Box,Gala Egg Half Roll Box,8961003030529,356,102,,,,
Category 2,Zeera Plus Half Roll Box,Zeera Plus Half Roll Box,8961003031021,394,99,,,,
Category 2,Tiger Ticky Pack Box,Tiger Ticky Pack Box,8961003031526,593,109,,,,
Category 2,Nan Khatai Half Roll Box,Nan Khatai Half Roll Box,8961003031793,407,102,,,,
Category 2,LU Milcolu Mini Snack x12,LU Milcolu Mini Snack x12,8961003504013,408,115,,,,
Category 2,Bakeri Butter Mini Snack Box,Bakeri Butter Mini Snack Box,8961003564123,405,119,,,,
Category 2,Choco Chip Mini Snack Box,Choco Chip Mini Snack Box,8964000474204,419,101.71,,,,
Category 2,Rio Vanilla Half Roll x6,Rio Vanilla Half Roll x6,8964000681169,633,100.02,,,,
Category 2,Click Bar Pack Box,Click Bar Pack Box,8964000683453,468,108.96,,,,
Category 2,Jam Delight Half Roll Box,Jam Delight Half Roll Box,8964000685907,340,100.98,,,,
Category 2,Milkabisk Half Roll Box,Milkabisk Half Roll Box,8964000784549,406,76.92,,,,
Category 2,Cafe Biscuit T/PK x24,Cafe Biscuit T/PK x24,8964000938034,442,119.04,,,,
Category 2,Cremo Strwbry Family Pack,Cremo Strwbry Family Pack,8964000938355,150,28.21,,,,
Category 2,Whistlez Suji Half Roll x6,Whistlez Suji Half Roll x6,8964001188254,402,90,,,,
Category 2,Whistlez Butter Ticky Pack x24,Whistlez Butter Ticky Pack x24,8964001188438,509,120,,,,
Category 2,Whistlz Jolly Jam Orange Box,Whistlz Jolly Jam Orange Box,8964001188735,465,120,,,,
Category 2,Whistlez Jly Jam Orng 33g x12,Whistlez Jly Jam Orng 33g x12,8964001188889,964,120,,,,
Category 2,Inovative Choc Chip S/PK Box,Inovative Choc Chip S/PK Box,8965310043180,433,109,,,,
Category 2,Innovative Zeera H/Roll Box,Innovative Zeera H/Roll Box,8965310043623,400,81,,,,
Category 2,Goodies Lemon H/Roll Box,Goodies Lemon H/Roll Box,8965310043746,446,81,,,,
