Category (S),Title (S),ShortTitle (S),ProductID (S),Weight (N),Price (N),Discounted Price (N),Image (S),Description (S),Catalog Weight (S)
Category 1,hangers plastic grey x6,hangers plastic grey x6,21051838,259,28.35,,,,
Category 1,hangers steel x6,hangers steel x6,21499708,506,85.33,,,,
Category 1,cloth hanger clip,cloth hanger clip,22705709,81,127.35,,,,
Category 1,baby hanger plastic,baby hanger plastic,22705754,151,298.29,,,,
Category 1,plastic hanger 3pcs,plastic hanger 3pcs,22705792,369,341.03,,,,
Category 1,zyb-23 hangers 5pcs,zyb-23 hangers 5pcs,22870889,406,426.5,,,,
Category 1,Astonish stain rmvr bar 750g,Astonish stain rmvr bar 750g,5.06006E+12,94,190.92,,,,
Category 1,ariel top load 500g,ariel top load 500g,5.41008E+12,529,117.2,,,,
Category 1,King Chamak Blue Liquid Niel 75 ml,King Chamak Blue Liquid Niel 75 ml,7.18122E+11,125,,,,,
Category 1,hangers plastic right x6,hangers plastic right x6,8.69754E+12,447,49.72,,,,
Category 1,brite tl ant bctria 500g,brite tl ant bctria 500g,8.88695E+12,523,123.93,,,,
Category 1,brite tl machne wsh 500g,brite tl machne wsh 500g,8.88695E+12,500,137.3,,,,
Category 1,express power det 400g,express power det 400g,8.88695E+12,447,57.1,,,,
Category 1,bonus tristar cp tl 475g,bonus tristar cp tl 475g,8.88695E+12,491,41.73,,,,
Category 1,softlan pink fs 500ml,softlan pink fs 500ml,8.88695E+12,529,128.21,,,,
Category 1,softlan pink pouch 600ml,softlan pink pouch 600ml,8.88695E+12,614,82.61,,,,
Category 1,cmfrt fb sftnr blu200ml,cmfrt fb sftnr blu200ml,8.93487E+12,233,131.27,,,,
Category 1,cmftr fb sftnr pnk 200ml,cmftr fb sftnr pnk 200ml,8.93487E+12,231,131.27,,,,
Category 1,cmftrt fab sft lil frsh 400ml,cmftrt fab sft lil frsh 400ml,8.93487E+12,408,192.53,,,,
Category 1,comfrt fab sft M fresh 400ml,comfrt fab sft M fresh 400ml,8.93487E+12,412,192.53,,,,
Category 1,surf excel matic tl 500g,surf excel matic tl 500g,8.96101E+12,491,133.3,,,,
Category 1,sunlight tp green 450g,sunlight tp green 450g,8.96101E+12,497,51.28,,,,
Category 1,sunlight tp pink 450g,sunlight tp pink 450g,8.96101E+12,456,51.28,,,,
Category 1,sunlight tp rose 450g,sunlight tp rose 450g,8.96101E+12,449,51.28,,,,
Category 1,surf excel top load 500g,surf excel top load 500g,8.96101E+12,500,113.93,,,,
Category 1,gai soap reg 375g x2,gai soap reg 375g x2,8.964E+12,764,23.51,,,,
Category 1,,,8.964E+12,134,,,,,
Category 1,hangers plastic premid x6,hangers plastic premid x6,8.964E+12,399,49.72,,,,
Category 1,ok laundary soap 200g x4,ok laundary soap 200g x4,8.964E+12,810,89.75,,,,
Category 1,ok laundary soap single,ok laundary soap single,8.964E+12,151,17.1,,,,
