Category (S),Title (S),ShortTitle (S),ProductID (S),Weight (N),Price (N),Discounted Price (N),Image (S),Description (S),Catalog Weight (S)
Category 7,DETTOL SOAP(C) 95G 2+1,DETTOL SOAP(C) 95G 2+1,6001106209599,,118.66,,,,
Category 7,DETTOL SOAP RENERGIZE 138G,DETTOL SOAP RENERGIZE 138G,6001106209612,131,64.1,,,,
Category 7,DETTOL SOAP RENRGIZE SV R.25 95,DETTOL SOAP RENRGIZE SV R.25 95,6001106209667,289,118.66,,,,
Category 7,SVNAH SOAP LNDNPASS 150G,SVNAH SOAP LNDNPASS 150G,6291003250101,131,47.01,,,,
Category 7,SVNAH SOAP PARISRMNC 75G,SVNAH SOAP PARISRMNC 75G,6291003253539,71,29.77,,,,
Category 7,,,6291003253546,128,0,,,,
Category 7,SVNAH SOAP ARBIANBLIS 115G,SVNAH SOAP ARBIANBLIS 115G,6291003253584,,42.32,,,,
Category 7,SVNAH SOAP PARISRMNC 115G,SVNAH SOAP PARISRMNC 115G,6291003253591,110,42.32,,,,
Category 7,SAFGRD WHT 110G,SAFGRD WHT 110G,8001090573001,103,41.73,,,,
Category 7,SAFGRD WHT 145G,SAFGRD WHT 145G,8001090573162,180,48.83,,,,
Category 7,SAFGRD LMN FRSH 145G,SAFGRD LMN FRSH 145G,8001090573490,144,48.83,,,,
Category 7,SAFGRD FLRLSCNT 145G,SAFGRD FLRLSCNT 145G,8001090573773,146,48.83,,,,
Category 7,SAFEGUARD SOAP HNY 100G,SAFEGUARD SOAP HNY 100G,8001090573964,103,47.01,,,,
Category 7,SAFGRD HNY 145G,SAFGRD HNY 145G,8001090574053,139,47.83,,,,
Category 7,SAFGRD H.W LQD PW 450ML,SAFGRD H.W LQD PW 450ML,8001090738448,536,170.1,,,,
Category 7,SAFGRD H.W LQD FS 450ML,SAFGRD H.W LQD FS 450ML,8001090738479,543,170.1,,,,
Category 7,SAFGRD H.W LQD LF 450ML,SAFGRD H.W LQD LF 450ML,8001090738509,532,170.1,,,,
Category 7,SAFGRD H.W PW 420ML,SAFGRD H.W PW 420ML,8001090738530,468,128.2,,,,
Category 7,SAFGRD LMN FRSH BNDL 145G,SAFGRD LMN FRSH BNDL 145G,8001090794109,444,149.67,,,,
Category 7,SAFGRD FLRLSCNT BNDL 145G,SAFGRD FLRLSCNT BNDL 145G,8001090794130,,149.67,,,,
Category 7,SAFGRD HNY ENDL 145G,SAFGRD HNY ENDL 145G,8001090794161,450,166.67,,,,
Category 7,SAFEGUARD SOAP L&F 100G,SAFEGUARD SOAP L&F 100G,8001090876591,102,47.01,,,,
Category 7,SAFEGUARD SOAP FLR 100G,SAFEGUARD SOAP FLR 100G,8001090876713,99,40.01,,,,
Category 7,SAFEGUARD SOAP HNY 100G X3,SAFEGUARD SOAP HNY 100G X3,8001090882059,306,132.48,,,,
Category 7,SAFEGUARD SOAP WHT 100G X3,SAFEGUARD SOAP WHT 100G X3,8001090882080,299,124.48,,,,
Category 7,SAFEGUARD SOAP LFR 110G X3,SAFEGUARD SOAP LFR 110G X3,8001090882110,,124.48,,,,
Category 7,SAFEGUARD SOAP FLR 110G X3,SAFEGUARD SOAP FLR 110G X3,8001090882141,306,124.48,,,,
Category 7,PALMOLIVE SOAP WHT 75G X3,PALMOLIVE SOAP WHT 75G X3,8886950031101,226,89.73,,,,
Category 7,PALMOLIVE SOAP GRN 75G X3,PALMOLIVE SOAP GRN 75G X3,8886950031118,225,89.73,,,,
Category 7,PALMOLIVE SOAP PINK 75G X3,PALMOLIVE SOAP PINK 75G X3,8886950031125,224,89.73,,,,
Category 7,PALMOLIVE SOAP WHT 155G,PALMOLIVE SOAP WHT 155G,8886950031323,147,50.43,,,,
Category 7,PALMOLIVE SOAP FLAWLSS 115G,PALMOLIVE SOAP FLAWLSS 115G,8886950031484,111,41.03,,,,
Category 7,PALMOLIVE SOAP GRN 155G,PALMOLIVE SOAP GRN 155G,8886950031576,161,50.43,,,,
Category 7,PALMOLIVE SOAP PNK 155G,PALMOLIVE SOAP PNK 155G,8886950031583,,50.43,,,,
Category 7,PALMOLIVE SOAP ORG 155G,PALMOLIVE SOAP ORG 155G,8886950031606,175,50.43,,,,
Category 7,PALMOLIVE SOAP BUNDLE 345G,PALMOLIVE SOAP BUNDLE 345G,8886950039039,348,114.53,,,,
Category 7,PALMOLIVE SOAP SAVER PK 450G,PALMOLIVE SOAP SAVER PK 450G,8886950039138,441,135.9,,,,
Category 7,LIFEBUOY H.W LOD SNITIZR 55ML,LIFEBUOY H.W LOD SNITIZR 55ML,8901030599217,55,101.71,,,,
Category 7,LIFEBUOY H.W TTL RFL 200ML,LIFEBUOY H.W TTL RFL 200ML,8961014001082,217,119.66,,,,
Category 7,LIFEBUOY H.W ACTFRESH 220ML,LIFEBUOY H.W ACTFRESH 220ML,8961014001099,222,122.85,,,,
Category 7,LIFEBUOY H.W TTL 220ML,LIFEBUOY H.W TTL 220ML,8961014001105,,122.85,,,,
Category 7,LIFEBUOY H.W CARE 220ML,LIFEBUOY H.W CARE 220ML,8961014001112,268,122.85,,,,
Category 7,LIFEBUOY H.W CARE RFL 200ML,LIFEBUOY H.W CARE RFL 200ML,8961014001211,,119.66,,,,
Category 7,LIFEBUOY T H.W REFILL 1L,LIFEBUOY T H.W REFILL 1L,8961014002348,,387.82,,,,
Category 7,LIFEBUOY H.W LQD TTL 1L,LIFEBUOY H.W LQD TTL 1L,8961014003567,982,387.82,,,,
Category 7,LIFEBUOY H.W LQD ACTFRSH 1L,LIFEBUOY H.W LQD ACTFRSH 1L,8961014003574,1025,387.82,,,,
Category 7,LIFEBUOY WHT 72G,LIFEBUOY WHT 72G,8961014007718,,25.64,,,,
Category 7,LIFEBUOY WHT TRIO 112G,LIFEBUOY WHT TRIO 112G,8961014007848,344,90.56,,,,
Category 7,LIFEBUOY WHT 146G,LIFEBUOY WHT 146G,8961014013078,142,37.73,,,,
Category 7,LIFEBUOY LMNFRSH SHR 112G,LIFEBUOY LMNFRSH SHR 112G,8961014013214,330,91.56,,,,
Category 7,LUX VLVT TCH 70G,LUX VLVT TCH 70G,8961014015287,,33.19,,,,
Category 7,LUX VLVT TCH 110G,LUX VLVT TCH 110G,8961014015294,114,41.3,,,,
Category 7,LUX VLVT TCH 145G,LUX VLVT TCH 145G,8961014015300,,49.85,,,,
Category 7,LUX SFT TCH 145G,LUX SFT TCH 145G,8961014015324,,49.85,,,,
Category 7,LUX PURPLE LOTUS 110G,LUX PURPLE LOTUS 110G,8961014015331,116,40.3,,,,
Category 7,LUX PURPLE LOTUS 145G,LUX PURPLE LOTUS 145G,8961014015348,173,49.85,,,,
Category 7,LUX FRSH SPLASH 145G,LUX FRSH SPLASH 145G,8961014015362,,49.85,,,,
Category 7,,,8961014015386,458,0,,,,
Category 7,LUX SFT TCH TRIO 145G,LUX SFT TCH TRIO 145G,8961014015393,,137.72,,,,
Category 7,LIFEBUOY WHITE 146G X3,LIFEBUOY WHITE 146G X3,8961014234459,439,38.18,,,,
Category 7,LIFEBUOY RED 146G X3,LIFEBUOY RED 146G X3,8961014234480,477,24.53,,,,
Category 7,LIFEBUOY SOAP ITTAR 112G,LIFEBUOY SOAP ITTAR 112G,8961014234497,108,38.46,,,,
Category 7,LIFEBUOY RED 72G,LIFEBUOY RED 72G,8961014234633,67,25.64,,,,
Category 7,LIFEBUOY GRN 72G,LIFEBUOY GRN 72G,8961014234657,70,20.64,,,,
Category 7,LIFEBUOY RED 112G,LIFEBUOY RED 112G,8961014234664,108,33.19,,,,
Category 7,LIFEBUOY WHT 112G,LIFEBUOY WHT 112G,8961014234671,120,33.19,,,,
Category 7,LIFEBUOY GRN 112G,LIFEBUOY GRN 112G,8961014234688,110,33.19,,,,
Category 7,LIFEBUOY GRN 146G,LIFEBUOY GRN 146G,8961014234725,147,37.73,,,,
Category 7,LIFEBUOY LMNFRSH 146G,LIFEBUOY LMNFRSH 146G,8961014234732,147,37.73,,,,
Category 7,LIFEBUOY RED TRIO 112G,LIFEBUOY RED TRIO 112G,8961014234855,343,92.56,,,,
Category 7,LIFEBUOY LMNFRSH TRIO 112G,LIFEBUOY LMNFRSH TRIO 112G,8961014234893,,84.56,,,,
Category 7,DETTOL SOAP DEEP CLNS 138G,DETTOL SOAP DEEP CLNS 138G,8961101230555,129,58.83,,,,
Category 7,DETTOL SOAP ORG 138GX4 S:50,DETTOL SOAP ORG 138GX4 S:50,8961101230937,,152.67,,,,
Category 7,DETTOL SOAP SKINCARE 138GX4 S:,DETTOL SOAP SKINCARE 138GX4 S:,8961101230944,660,152.67,,,,
Category 7,DETTOL SOAP COOL 138GX4 S:50,DETTOL SOAP COOL 138GX4 S:50,8961101230951,,152.67,,,,
Category 7,DETTOL SOAP REENRGISE 138GX4 S:,DETTOL SOAP REENRGISE 138GX4 S:,8961101231071,543,152.67,,,,
Category 7,DETTOL SOAP DEEPCLNS 138GX4 S:,DETTOL SOAP DEEPCLNS 138GX4 S:,8961101231088,,172.67,,,,
Category 7,DETTOL SOAP ORG 62G X3,DETTOL SOAP ORG 62G X3,8964000954270,142,95.28,,,,
Category 7,DETTOL H.W LQD REFRESH 250ML,DETTOL H.W LQD REFRESH 250ML,9300631016656,290,226.49,,,,
Category 7,DETTOL H.W LQD VAN&ORCHID 250ML,DETTOL H.W LQD VAN&ORCHID 250ML,9300701856519,294,226.49,,,,
