Category (S),Title (S),ShortTitle (S),ProductID (S),Weight (N),Price (N),Discounted Price (N),Image (S),Description (S),Catalog Weight (S)
Category 7,SAFGRD H.W LQD PUREWHT 225ML,SAFGRD H.W LQD PUREWHT 225ML,4015400928157,278,102.6,,,,
Category 7,SAFGRD LHS FLRLSCNT 225ML,SAFGRD LHS FLRLSCNT 225ML,4015400928218,279,102.6,,,,
Category 7,SAFGRD LQD H.W LMNFRSH 225ML,SAFGRD LQD H.W LMNFRSH 225ML,4015400928249,,102.6,,,,
Category 7,SAFGRD SOAP LMN 70G X6,SAFGRD SOAP LMN 70G X6,5013965705038,,175.21,,,,
Category 7,SAFGRD SOAP WHT 70G X6,SAFGRD SOAP WHT 70G X6,5013965705069,417,174.5,,,,
Category 7,,,6001106115081,61,0,,,,
Category 7,DETTOL H/WASH ORG PUMP 250ML,DETTOL H/WASH ORG PUMP 250ML,6001106209070,292,212.82,,,,
Category 7,DETTOL H/WASH SC PUMP 250ML,DETTOL H/WASH SC PUMP 250ML,6001106209087,,212.82,,,,
Category 7,DETTOL H.W W/PUMP ORG 150ML,DETTOL H.W W/PUMP ORG 150ML,6001106209094,98,144.44,,,,
Category 7,DETTOL H.W W/PUMP SKINCARE 150M,DETTOL H.W W/PUMP SKINCARE 150M,6001106209100,,144.44,,,,
Category 7,DETTOL H.W POUCH ORG 150ML,DETTOL H.W POUCH ORG 150ML,6001106209117,156,118.8,,,,
Category 7,DETTOL H.W PCH SKINCARE 150ML,DETTOL H.W PCH SKINCARE 150ML,6001106209124,161,118.8,,,,
Category 7,DETTOL SOAP ORG 95G X3,DETTOL SOAP ORG 95G X3,6001106209261,285,141.02,,,,
Category 7,DETTOL SOAP SKINCARE 95G X3,DETTOL SOAP SKINCARE 95G X3,6001106209285,274,141.02,,,,
Category 7,DETTOL SOAP COOL 95G X3,DETTOL SOAP COOL 95G X3,6001106209308,,141.03,,,,
Category 7,DETTOL SOAP COOL 138G,DETTOL SOAP COOL 138G,6001106209506,139,64.1,,,,
Category 7,DETTOL SOAP SKIN CARE 138G,DETTOL SOAP SKIN CARE 138G,6001106209513,136,64.1,,,,
Category 7,DETTOL SOAP ORIGINAL 138G,DETTOL SOAP ORIGINAL 138G,6001106209520,141,64.1,,,,
Category 7,DETTOL SOAP RENERGIZE 95G X3,DETTOL SOAP RENERGIZE 95G X3,6001106209551,,141.02,,,,
Category 7,DETTOL SOAP (O) 95G CP(S:25),DETTOL SOAP (O) 95G CP(S:25),6001106209575,,122.49,,,,
