Category (S),Title (S),ShortTitle (S),ProductID (S),Weight (N),Price (N),Discounted Price (N),Image (S),Description (S),Catalog Weight (S)
Category 4,Mehran Sheer Khurma 155g,Mehran Sheer Khurma 155g,22231970,128,0,,,,
Category 4,O'Real Fried Rice Mix 50g,O'Real Fried Rice Mix 50g,3.00421E+12,73,0,,,,
Category 4,O'Real Chicken MNCHRIN 65g,O'Real Chicken MNCHRIN 65g,4.25863E+12,151,0,,,,
Category 4,Laziza Kheer Mix STDRD 155g,Laziza Kheer Mix STDRD 155g,5.02822E+12,182,0,,,,
Category 4,Nimko Mix 100g,Nimko Mix 100g,5.06006E+12,102,0,,,,
Category 4,Lahori Mixture 100g,Lahori Mixture 100g,5.06006E+12,114,0,,,,
Category 4,Nimko Shahi Mix 100g,Nimko Shahi Mix 100g,5.06006E+12,134,0,,,,
Category 4,Chewra Mix 50g,Chewra Mix 50g,5.06006E+12,55,0,,,,
Category 4,Khata Metha 50g,Khata Metha 50g,5.06006E+12,51,0,,,,
Category 4,National Banana Jelly 80g,National Banana Jelly 80g,6.20514E+11,94,0,,,,
Category 4,National Strawberry CSTRD 300g,National Strawberry CSTRD 300g,6.20514E+11,329,0,,,,
Category 4,Slanty Salt 33g,Slanty Salt 33g,6.71866E+11,33,0,,,,
Category 4,Kolson Spaghetti Fancy 500g,Kolson Spaghetti Fancy 500g,6.71866E+11,496,0,,,,
Category 4,Kolson ELBW MACRONI SML 400g,Kolson ELBW MACRONI SML 400g,6.71866E+11,425,0,,,,
Category 4,Kolson RDGD ELBW Macroni 400g,Kolson RDGD ELBW Macroni 400g,6.71866E+11,400,0,,,,
Category 4,Kolson Fajita Spaghetti 250g,Kolson Fajita Spaghetti 250g,6.71866E+11,271,0,,,,
Category 4,Kolson Roasted Vermicelli 150 gm,Kolson Roasted Vermicelli 150 gm,6.71866E+11,162,0,,,,
Category 4,Kolson U-Shape Vermicli 150g,Kolson U-Shape Vermicli 150g,6.71866E+11,70,0,,,,
Category 4,Reggia Toffee 500g,Reggia Toffee 500g,8.00886E+12,499,0,,,,
Category 4,O'Real Chicken Cub FWOR 20g,O'Real Chicken Cub FWOR 20g,8.46112E+12,26,0,,,,
Category 4,O'Real Pulao Cube Powder 20g,O'Real Pulao Cube Powder 20g,8.46112E+12,23,0,,,,
Category 4,Chicken Kabab 250g,Chicken Kabab 250g,8.9512E+11,304,0,,,,
Category 4,Freshmate Daal Fry 275g,Freshmate Daal Fry 275g,8.9512E+11,332,0,,,,
Category 4,Chicken TAndoori Boti 150g,Chicken TAndoori Boti 150g,8.9512E+11,188,0,,,,
Category 4,Knorr Cream of Chicken 50g,Knorr Cream of Chicken 50g,8.96101E+12,54,0,,,,
Category 4,Rafhan Vanila Custrad 120g,Rafhan Vanila Custrad 120g,8.96101E+12,146,0,,,,
Category 4,Rafhan Strwbry Custard 120g,Rafhan Strwbry Custard 120g,8.96101E+12,143,0,,,,
Category 4,Rafhan Mango Jelly 80g,Rafhan Mango Jelly 80g,8.96101E+12,91,0,,,,
Category 4,Rafhan Strawberry Jelly 80g,Rafhan Strawberry Jelly 80g,8.96101E+12,87,0,,,,
Category 4,Rafhan Orange Jelly 80g,Rafhan Orange Jelly 80g,8.96101E+12,89,0,,,,
Category 4,Rafhan Mango CSTRD 300g,Rafhan Mango CSTRD 300g,8.96101E+12,313,0,,,,
Category 4,Rafhan Banana CSTRD 300g,Rafhan Banana CSTRD 300g,8.96101E+12,78,0,,,,
Category 4,Rafhan Corn Flour 300g,Rafhan Corn Flour 300g,8.96101E+12,252,0,,,,
Category 4,Knorr Tomato Cream S 75g,Knorr Tomato Cream S 75g,8.96101E+12,162,0,,,,
Category 4,Oye Hoye Chips Tomato 29g,Oye Hoye Chips Tomato 29g,8.9611E+12,28,0,,,,
Category 4,Oye Hoye Masala JMBO 45g,Oye Hoye Masala JMBO 45g,8.9611E+12,43,0,,,,
Category 4,Oye Hoye Chips S&P 45g,Oye Hoye Chips S&P 45g,8.9611E+12,42,0,,,,
Category 4,Oye Hoye Chips Masala 72g,Oye Hoye Chips Masala 72g,8.9611E+12,73,0,,,,
Category 4,Oye Hoye Green Chaska 45g,Oye Hoye Green Chaska 45g,8.9611E+12,43,0,,,,
Category 4,Crispo Macroni Twist 400g,Crispo Macroni Twist 400g,8.964E+12,413,0,,,,
Category 4,Lays Masala 168g,Lays Masala 168g,8.964E+12,166,0,,,,
Category 4,Super Crisp BBQ 75g,Super Crisp BBQ 75g,8.964E+12,79,0,,,,
Category 4,Supr CRSP Catty Ching 61g,Supr CRSP Catty Ching 61g,8.964E+12,65,0,,,,
Category 4,Super Crisp Nimko Mix 81g,Super Crisp Nimko Mix 81g,8.964E+12,50,0,,,,
Category 4,Kurleez French Cheese 61g,Kurleez French Cheese 61g,8.964E+12,74,0,,,,
Category 4,Kurleez Snacks Lemon 24P,Kurleez Snacks Lemon 24P,8.964E+12,40,0,,,,
Category 4,Mamee CHF Camy Tomyam 72g,Mamee CHF Camy Tomyam 72g,9.55502E+12,110,0,,,,
